dataset,extradata,global_rank,metric_name,metric_value,model,remove,task,paper_title,paper_path,paper_url
LibriSpeech test-clean,,# 1,Word Error Rate (WER),2.5,LAS + SpecAugment,-,Speech Recognition,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,/paper/specaugment-a-simple-data-augmentation-method,https://arxiv.org/pdf/1904.08779v1.pdf
LibriSpeech test-clean,,# 4,Word Error Rate (WER),3.2,LAS,-,Speech Recognition,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,/paper/specaugment-a-simple-data-augmentation-method,https://arxiv.org/pdf/1904.08779v1.pdf
LibriSpeech test-other,,# 1,Word Error Rate (WER),5.8,LAS + SpecAugment,-,Speech Recognition,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,/paper/specaugment-a-simple-data-augmentation-method,https://arxiv.org/pdf/1904.08779v1.pdf
Switchboard + Hub500,,# 6,Percentage error,6.8,LAS + SpecAugment (SM),-,Speech Recognition,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,/paper/specaugment-a-simple-data-augmentation-method,https://arxiv.org/pdf/1904.08779v1.pdf
ACL-ARC,,# 6,F1,41.0,SVM,-,Citation Intent Classification,Purpose and Polarity of Citation: Towards NLP-based Bibliometrics,/paper/purpose-and-polarity-of-citation-towards-nlp,https://aclweb.org/anthology/N13-1067
WMT2014 English-French,,# 1,BLEU,36.2,SMT + NMT (tuning and joint refinement),-,Unsupervised Machine Translation,An Effective Approach to Unsupervised Machine Translation,/paper/an-effective-approach-to-unsupervised-machine,https://arxiv.org/pdf/1902.01313v1.pdf
WMT2014 English-German,,# 1,BLEU,22.5,SMT + NMT (tuning and joint refinement),-,Unsupervised Machine Translation,An Effective Approach to Unsupervised Machine Translation,/paper/an-effective-approach-to-unsupervised-machine,https://arxiv.org/pdf/1902.01313v1.pdf
WMT2014 French-English,,# 1,BLEU,33.5,SMT + NMT (tuning and joint refinement),-,Unsupervised Machine Translation,An Effective Approach to Unsupervised Machine Translation,/paper/an-effective-approach-to-unsupervised-machine,https://arxiv.org/pdf/1902.01313v1.pdf
WMT2014 German-English,,# 1,BLEU,27.0,SMT + NMT (tuning and joint refinement),-,Unsupervised Machine Translation,An Effective Approach to Unsupervised Machine Translation,/paper/an-effective-approach-to-unsupervised-machine,https://arxiv.org/pdf/1902.01313v1.pdf
WMT2016 English-German,,# 1,BLEU,26.9,SMT + NMT (tuning and joint refinement),-,Unsupervised Machine Translation,An Effective Approach to Unsupervised Machine Translation,/paper/an-effective-approach-to-unsupervised-machine,https://arxiv.org/pdf/1902.01313v1.pdf
WMT2016 German-English,,# 1,BLEU,34.4,SMT + NMT (tuning and joint refinement),-,Unsupervised Machine Translation,An Effective Approach to Unsupervised Machine Translation,/paper/an-effective-approach-to-unsupervised-machine,https://arxiv.org/pdf/1902.01313v1.pdf
Cohn-Kanade,,# 1,Accuracy,88.7%,Sequential forward selection,-,Facial Expression Recognition,Greedy Search for Descriptive Spatial Face Features,/paper/greedy-search-for-descriptive-spatial-face,https://arxiv.org/pdf/1701.01879v2.pdf
Data3DâR2N2,,# 5,Avg F1,33.8,N3MR,-,3D Object Reconstruction,Neural 3D Mesh Renderer,/paper/neural-3d-mesh-renderer,https://arxiv.org/pdf/1711.07566v1.pdf
OMNIGLOT - 1-Shot Learning,,# 3,Accuracy,98.4%,Memory Mod,-,Few-Shot Image Classification,Learning to Remember Rare Events,/paper/learning-to-remember-rare-events,https://arxiv.org/pdf/1703.03129v1.pdf
OMNIGLOT - 5-Shot Learning,,# 3,Accuracy,99.6%,Memory Mod,-,Few-Shot Image Classification,Learning to Remember Rare Events,/paper/learning-to-remember-rare-events,https://arxiv.org/pdf/1703.03129v1.pdf
One Billion Word,,# 15,PPL,52.9,Sparse Non-Negative,-,Language Modelling,Skip-gram Language Modeling Using Sparse Non-negative Matrix Probability Estimation,/paper/skip-gram-language-modeling-using-sparse-non,https://arxiv.org/pdf/1412.1454v2.pdf
One Billion Word,,# 1,Number of params,33B,Sparse Non-Negative,-,Language Modelling,Skip-gram Language Modeling Using Sparse Non-negative Matrix Probability Estimation,/paper/skip-gram-language-modeling-using-sparse-non,https://arxiv.org/pdf/1412.1454v2.pdf
BSD100 - 4x upscaling,,# 10,PSNR,27.56,SRRAM,-,Image Super-Resolution,RAM: Residual Attention Module for Single Image Super-Resolution,/paper/ram-residual-attention-module-for-single,https://arxiv.org/pdf/1811.12043v1.pdf
BSD100 - 4x upscaling,,# 14,SSIM,0.735,SRRAM,-,Image Super-Resolution,RAM: Residual Attention Module for Single Image Super-Resolution,/paper/ram-residual-attention-module-for-single,https://arxiv.org/pdf/1811.12043v1.pdf
Set14 - 4x upscaling,,# 10,PSNR,28.54,SRRAM,-,Image Super-Resolution,RAM: Residual Attention Module for Single Image Super-Resolution,/paper/ram-residual-attention-module-for-single,https://arxiv.org/pdf/1811.12043v1.pdf
Set14 - 4x upscaling,,# 16,SSIM,0.78,SRRAM,-,Image Super-Resolution,RAM: Residual Attention Module for Single Image Super-Resolution,/paper/ram-residual-attention-module-for-single,https://arxiv.org/pdf/1811.12043v1.pdf
Set5 - 4x upscaling,,# 8,PSNR,32.13,SRRAM,-,Image Super-Resolution,RAM: Residual Attention Module for Single Image Super-Resolution,/paper/ram-residual-attention-module-for-single,https://arxiv.org/pdf/1811.12043v1.pdf
Set5 - 4x upscaling,,# 13,SSIM,0.8932,SRRAM,-,Image Super-Resolution,RAM: Residual Attention Module for Single Image Super-Resolution,/paper/ram-residual-attention-module-for-single,https://arxiv.org/pdf/1811.12043v1.pdf
Urban100 - 4x upscaling,,# 10,PSNR,26.05,SRRAM,-,Image Super-Resolution,RAM: Residual Attention Module for Single Image Super-Resolution,/paper/ram-residual-attention-module-for-single,https://arxiv.org/pdf/1811.12043v1.pdf
Urban100 - 4x upscaling,,# 11,SSIM,0.7834,SRRAM,-,Image Super-Resolution,RAM: Residual Attention Module for Single Image Super-Resolution,/paper/ram-residual-attention-module-for-single,https://arxiv.org/pdf/1811.12043v1.pdf
PASCAL VOC 2007,,# 18,MAP,63.4%,YOLO,-,Object Detection,"You Only Look Once: Unified, Real-Time Object Detection",/paper/you-only-look-once-unified-real-time-object,https://arxiv.org/pdf/1506.02640v5.pdf
PASCAL VOC 2007,,# 6,MAP,63.4%,YOLO,-,Real-Time Object Detection,"You Only Look Once: Unified, Real-Time Object Detection",/paper/you-only-look-once-unified-real-time-object,https://arxiv.org/pdf/1506.02640v5.pdf
PASCAL VOC 2007,,# 2,FPS,46,YOLO,-,Real-Time Object Detection,"You Only Look Once: Unified, Real-Time Object Detection",/paper/you-only-look-once-unified-real-time-object,https://arxiv.org/pdf/1506.02640v5.pdf
MPII Human Pose,,# 9,PCKh-0.5,87.5%,Tucker T-Net,-,Pose Estimation,T-Net: Parametrizing Fully Convolutional Nets with a Single High-Order Tensor,/paper/t-net-parametrizing-fully-convolutional-nets,https://arxiv.org/pdf/1904.02698v1.pdf
COCO,,# 21,Bounding Box AP,40.9,D-RFCN + ResNet-101 (6 scales),-,Object Detection,Deformable Convolutional Networks,/paper/deformable-convolutional-networks,https://arxiv.org/pdf/1703.06211v3.pdf
Human3.6M,,# 1,Average 3D Error,51.8,Fully supervised EpipolarPose,-,3D Human Pose Estimation,Self-Supervised Learning of 3D Human Pose using Multi-view Geometry,/paper/self-supervised-learning-of-3d-human-pose,https://arxiv.org/pdf/1903.02330v2.pdf
Human3.6M,,# 2,Average 3D Error,55.0,Self supervised EpipolarPose,-,3D Human Pose Estimation,Self-Supervised Learning of 3D Human Pose using Multi-view Geometry,/paper/self-supervised-learning-of-3d-human-pose,https://arxiv.org/pdf/1903.02330v2.pdf
Second dialogue state tracking challenge,,# 1,Joint,75.5,StateNet,-,Dialogue State Tracking,Towards Universal Dialogue State Tracking,/paper/towards-universal-dialogue-state-tracking,https://arxiv.org/pdf/1810.09587v1.pdf
Wizard-of-Oz,,# 1,Joint,88.9,StateNet,-,Dialogue State Tracking,Towards Universal Dialogue State Tracking,/paper/towards-universal-dialogue-state-tracking,https://arxiv.org/pdf/1810.09587v1.pdf
Sequential MNIST,,# 5,Unpermuted Accuracy,96.9%,Full-capacity uRNN,-,Sequential Image Classification,Full-Capacity Unitary Recurrent Neural Networks,/paper/full-capacity-unitary-recurrent-neural,https://arxiv.org/pdf/1611.00035v1.pdf
Sequential MNIST,,# 3,Permuted Accuracy,94.1%,Full-capacity uRNN,-,Sequential Image Classification,Full-Capacity Unitary Recurrent Neural Networks,/paper/full-capacity-unitary-recurrent-neural,https://arxiv.org/pdf/1611.00035v1.pdf
ShapeNet-Part,,# 1,Instance Average IoU,86.0,SSCN,-,3D Part Segmentation,Submanifold Sparse Convolutional Networks,/paper/submanifold-sparse-convolutional-networks,https://arxiv.org/pdf/1706.01307v1.pdf
SWAG,,# 3,Dev,59.1,ESIM + ELMo,-,Common Sense Reasoning,SWAG: A Large-Scale Adversarial Dataset for Grounded Commonsense Inference,/paper/swag-a-large-scale-adversarial-dataset-for,https://arxiv.org/pdf/1808.05326v1.pdf
SWAG,,# 2,Test,59.2,ESIM + ELMo,-,Common Sense Reasoning,SWAG: A Large-Scale Adversarial Dataset for Grounded Commonsense Inference,/paper/swag-a-large-scale-adversarial-dataset-for,https://arxiv.org/pdf/1808.05326v1.pdf
SWAG,,# 4,Dev,51.9,ESIM + GloVe,-,Common Sense Reasoning,SWAG: A Large-Scale Adversarial Dataset for Grounded Commonsense Inference,/paper/swag-a-large-scale-adversarial-dataset-for,https://arxiv.org/pdf/1808.05326v1.pdf
SWAG,,# 3,Test,52.7,ESIM + GloVe,-,Common Sense Reasoning,SWAG: A Large-Scale Adversarial Dataset for Grounded Commonsense Inference,/paper/swag-a-large-scale-adversarial-dataset-for,https://arxiv.org/pdf/1808.05326v1.pdf
PASCAL VOC 2007,,# 3,MAP,51.2,pipeline method,-,Weakly Supervised Object Detection,"Multi-Evidence Filtering and Fusion for Multi-Label Classification, Object Detection and Semantic Segmentation Based on Weakly Supervised Learning",/paper/multi-evidence-filtering-and-fusion-for-multi,https://arxiv.org/pdf/1802.09129v1.pdf
Mini-ImageNet - 1-Shot Learning,,# 2,Accuracy,50.44%,Relation-Net,-,Few-Shot Learning,Learning to Compare: Relation Network for Few-Shot Learning,/paper/learning-to-compare-relation-network-for-few,https://arxiv.org/pdf/1711.06025v2.pdf
Mini-ImageNet - 5-Shot Learning,,# 1,Accuracy,65.32%,Relation-Net,-,Few-Shot Learning,Learning to Compare: Relation Network for Few-Shot Learning,/paper/learning-to-compare-relation-network-for-few,https://arxiv.org/pdf/1711.06025v2.pdf
Penn Treebank,,# 2,F1 score,95.77,JMT,-,Chunking,A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks,/paper/a-joint-many-task-model-growing-a-neural,https://arxiv.org/pdf/1611.01587v5.pdf
General,,# 6,MAP,5.77,SJTU BCMI,-,Hypernym Discovery,SJTU-NLP at SemEval-2018 Task 9: Neural Hypernym Discovery with Term Embeddings,/paper/sjtu-nlp-at-semeval-2018-task-9-neural-1,https://aclweb.org/anthology/S18-1147
General,,# 6,MRR,10.56,SJTU BCMI,-,Hypernym Discovery,SJTU-NLP at SemEval-2018 Task 9: Neural Hypernym Discovery with Term Embeddings,/paper/sjtu-nlp-at-semeval-2018-task-9-neural-1,https://aclweb.org/anthology/S18-1147
General,,# 6,[emailÂ protected],5.96,SJTU BCMI,-,Hypernym Discovery,SJTU-NLP at SemEval-2018 Task 9: Neural Hypernym Discovery with Term Embeddings,/paper/sjtu-nlp-at-semeval-2018-task-9-neural-1,https://aclweb.org/anthology/S18-1147
Medical domain,,# 6,MAP,11.69,SJTU BCMI,-,Hypernym Discovery,SJTU-NLP at SemEval-2018 Task 9: Neural Hypernym Discovery with Term Embeddings,/paper/sjtu-nlp-at-semeval-2018-task-9-neural-1,https://aclweb.org/anthology/S18-1147
Medical domain,,# 6,MRR,25.95,SJTU BCMI,-,Hypernym Discovery,SJTU-NLP at SemEval-2018 Task 9: Neural Hypernym Discovery with Term Embeddings,/paper/sjtu-nlp-at-semeval-2018-task-9-neural-1,https://aclweb.org/anthology/S18-1147
Medical domain,,# 6,[emailÂ protected],11.69,SJTU BCMI,-,Hypernym Discovery,SJTU-NLP at SemEval-2018 Task 9: Neural Hypernym Discovery with Term Embeddings,/paper/sjtu-nlp-at-semeval-2018-task-9-neural-1,https://aclweb.org/anthology/S18-1147
Music domain,,# 5,MAP,4.71,SJTU BCMI,-,Hypernym Discovery,SJTU-NLP at SemEval-2018 Task 9: Neural Hypernym Discovery with Term Embeddings,/paper/sjtu-nlp-at-semeval-2018-task-9-neural-1,https://aclweb.org/anthology/S18-1147
Music domain,,# 5,MRR,9.15,SJTU BCMI,-,Hypernym Discovery,SJTU-NLP at SemEval-2018 Task 9: Neural Hypernym Discovery with Term Embeddings,/paper/sjtu-nlp-at-semeval-2018-task-9-neural-1,https://aclweb.org/anthology/S18-1147
Music domain,,# 5,[emailÂ protected],4.91,SJTU BCMI,-,Hypernym Discovery,SJTU-NLP at SemEval-2018 Task 9: Neural Hypernym Discovery with Term Embeddings,/paper/sjtu-nlp-at-semeval-2018-task-9-neural-1,https://aclweb.org/anthology/S18-1147
Caltech,,# 15,Reasonable Miss Rate,12.4,Part-level CNN + saliency and bounding box alignment,-,Pedestrian Detection,Part-Level Convolutional Neural Networks for Pedestrian Detection Using Saliency and Boundary Box Alignment,/paper/part-level-convolutional-neural-networks-for,https://arxiv.org/pdf/1810.00689v1.pdf
ImageNet,,# 22,Top 1 Accuracy,69.8%,Inception V1,-,Image Classification,Going Deeper with Convolutions,/paper/going-deeper-with-convolutions,https://arxiv.org/pdf/1409.4842v1.pdf
ImageNet,,# 15,Top 5 Accuracy,89.9%,Inception V1,-,Image Classification,Going Deeper with Convolutions,/paper/going-deeper-with-convolutions,https://arxiv.org/pdf/1409.4842v1.pdf
ImageNet Detection,,# 1,MAP,43.9%,Inception V1,-,Object Detection,Going Deeper with Convolutions,/paper/going-deeper-with-convolutions,https://arxiv.org/pdf/1409.4842v1.pdf
One Billion Word,,# 7,PPL,28.0,High-Budget MoE,-,Language Modelling,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,/paper/outrageously-large-neural-networks-the,https://arxiv.org/pdf/1701.06538v1.pdf
One Billion Word,,# 1,Number of params,5B,High-Budget MoE,-,Language Modelling,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,/paper/outrageously-large-neural-networks-the,https://arxiv.org/pdf/1701.06538v1.pdf
One Billion Word,,# 11,PPL,34.1,Low-Budget MoE,-,Language Modelling,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,/paper/outrageously-large-neural-networks-the,https://arxiv.org/pdf/1701.06538v1.pdf
One Billion Word,,# 1,Number of params,5B,Low-Budget MoE,-,Language Modelling,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,/paper/outrageously-large-neural-networks-the,https://arxiv.org/pdf/1701.06538v1.pdf
WMT2014 English-French,,# 10,BLEU score,40.56,MoE,-,Machine Translation,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,/paper/outrageously-large-neural-networks-the,https://arxiv.org/pdf/1701.06538v1.pdf
WMT2014 English-German,,# 12,BLEU score,26.03,MoE,-,Machine Translation,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,/paper/outrageously-large-neural-networks-the,https://arxiv.org/pdf/1701.06538v1.pdf
Atari 2600 Alien,,# 18,Score,813.5,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Amidar,,# 14,Score,189.2,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Assault,,# 20,Score,1195.8,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Asterix,,# 18,Score,3324.7,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Asteroids,,# 19,Score,933.6,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Atlantis,,# 8,Score,629166.5,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Bank Heist,,# 18,Score,399.4,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Battle Zone,,# 16,Score,19938.0,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Beam Rider,,# 20,Score,3822.1,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Bowling,,# 10,Score,54.0,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Boxing,,# 12,Score,74.2,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Breakout,,# 19,Score,313.0,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Centipede,,# 9,Score,6296.9,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Chopper Command,,# 19,Score,3191.8,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Crazy Climber,,# 19,Score,65451.0,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Demon Attack,,# 16,Score,14880.1,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Double Dunk,,# 15,Score,-11.3,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Enduro,,# 20,Score,71.0,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Fishing Derby,,# 14,Score,4.6,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Freeway,,# 20,Score,10.2,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Frostbite,,# 19,Score,426.6,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
Atari 2600 Gopher,,# 19,Score,4373.0,Gorila,-,Atari Games,Massively Parallel Methods for Deep Reinforcement Learning,/paper/massively-parallel-methods-for-deep,https://arxiv.org/pdf/1507.04296v2.pdf
